time,ambient,bean,air,thermocouple_2_temp,thermocouple_3_temp
819,75,502,461,788,788
821,75,503,461,788,788
822,75,503,461,788,788
823,75,504,461,788,788
824,75,504,461,788,788
825,75,504,462,788,788
826,75,504,462,788,788
827,74,504,461,788,788
828,75,505,461,788,788
829,75,505,461,788,788
830,75,505,461,788,788
831,75,506,461,788,788
832,75,506,461,788,788
833,75,506,462,788,788
834,75,506,462,788,788
835,75,507,462,788,788
836,75,507,462,788,788
837,75,507,462,788,788
838,75,508,462,788,788
839,75,508,461,788,788
840,75,508,461,788,788
841,75,508,461,787,788
842,75,508,462,788,788
843,75,509,462,788,788
844,75,509,462,788,788
845,75,509,461,788,788
846,75,509,461,788,788
847,75,510,461,788,788
848,75,510,461,788,788
849,75,510,462,788,788
850,75,510,462,788,788
851,75,511,463,788,788
852,75,511,463,788,788
853,75,511,464,788,788
854,75,512,464,788,788
855,75,512,465,788,788
856,75,512,465,788,788
857,75,513,466,788,788
858,75,513,466,788,788
859,75,513,466,788,788
860,75,513,467,788,788
861,75,514,467,788,788
862,75,514,467,788,788
863,75,514,467,788,788
864,75,514,467,787,788
865,75,515,467,788,788
866,75,515,467,788,788
867,75,516,467,787,788
868,75,516,467,788,788
869,75,516,468,787,788
870,75,516,468,787,788
871,75,517,469,787,788
872,75,517,469,788,788
873,75,518,469,787,788
874,75,518,467,788,788
875,75,518,465,788,788
876,75,519,463,788,788
877,75,519,461,788,788
878,75,519,459,788,788
879,75,520,458,788,788
880,75,520,456,788,788
881,75,520,455,788,788
882,75,521,454,788,788
883,75,521,453,788,788
884,75,521,452,788,788
885,75,521,451,788,788
886,75,522,451,788,788
887,75,522,450,788,788
888,75,522,449,788,788
889,75,523,448,788,788
890,75,523,447,787,788
891,75,523,446,788,788
892,75,523,445,788,788
893,75,524,445,788,788
894,75,524,445,788,788
895,75,524,445,787,788
896,75,524,445,788,788
897,75,524,445,788,788
898,75,525,445,788,788
899,75,524,445,788,788
900,75,523,444,788,788
901,75,520,443,788,788
902,75,517,441,788,788
903,75,514,438,788,788
904,75,510,434,788,788
905,75,507,430,788,788
906,75,504,425,788,788
907,75,501,421,788,788
908,75,499,417,788,788
909,75,496,414,788,788
910,75,494,411,788,788
911,75,493,412,788,788
912,75,492,412,788,788
913,75,491,413,788,788
914,75,490,414,788,788
915,75,489,415,788,788
916,75,488,416,787,788
917,75,487,416,788,788
918,75,486,417,788,788
919,75,485,417,788,788
920,75,484,418,788,788
921,75,483,418,788,788
922,75,482,418,788,788
923,75,481,419,788,788
924,75,480,419,788,788
925,75,480,419,788,788
926,75,479,419,788,788
927,75,478,419,788,788
928,75,477,420,788,788
929,75,476,420,788,788
930,75,475,420,788,788
931,75,474,420,788,788
932,75,474,420,788,788
933,75,473,420,788,788
934,75,472,419,788,788
935,75,471,419,788,788
936,75,471,419,788,788
937,75,470,419,788,788
938,75,469,419,787,788
939,75,469,419,788,788
940,75,468,419,787,788
941,75,467,419,787,788
942,75,467,419,788,788
943,75,466,419,788,788
944,75,465,419,788,788
945,75,465,419,788,788
946,75,464,419,788,788
947,75,464,419,788,788
948,75,463,418,788,788
949,75,462,418,788,788
950,75,462,418,787,788
951,75,461,418,787,788
952,75,460,418,788,788
953,75,460,418,788,788
954,75,459,417,787,788
955,75,458,417,787,788
956,75,458,417,788,788
957,75,457,417,788,788
958,75,457,416,788,788
959,75,456,416,788,788
960,75,456,416,788,788
961,75,455,416,788,788
962,75,455,416,787,788
963,75,454,416,788,788
964,75,453,415,787,788
965,75,453,415,788,788
966,75,452,415,787,788
967,75,452,414,788,788
968,75,452,414,787,788
969,75,451,414,788,788
970,75,450,414,787,788
971,75,450,413,787,788
972,75,450,413,787,788
973,75,449,413,787,788
974,75,449,413,787,788
975,75,449,413,787,788
976,75,448,412,787,788
977,75,448,412,787,788
978,75,447,412,788,788
979,75,447,412,787,788
980,75,447,412,787,788
981,75,446,412,787,788
982,75,446,411,788,788
983,75,446,411,787,788
984,75,445,411,787,788
985,75,445,411,788,788
986,75,445,411,787,788
987,75,444,411,787,788
988,75,444,410,788,788
989,75,444,410,788,788
990,75,443,410,787,788
991,75,443,410,787,788
992,75,443,410,787,788
993,75,442,409,787,788
994,75,442,409,787,788
995,75,442,409,788,788
996,75,442,409,787,788
997,75,441,409,787,788
998,75,441,408,787,788
999,75,441,408,787,788
1000,75,441,408,787,788
1001,75,441,408,787,788
1002,75,440,408,787,788
1003,75,440,408,787,788
1004,75,440,408,787,788
1005,75,440,407,787,788
1006,75,440,407,787,788
1007,75,439,407,787,788
1008,75,439,407,787,788
1009,75,439,407,787,788
1010,75,439,407,787,788
