2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:46:37,864,519.717610836,0,335.894800
2015-07-25 23:46:39,849,521.701854944,1,444.374200
2015-07-25 23:46:40,649,522.501860857,1,444.605800
2015-07-25 23:46:40,680,522.533774853,0,336.142200
2015-07-25 23:46:40,841,522.693852901,3,863.882800
2015-07-25 23:46:41,128,522.981809855,1,444.374200
2015-07-25 23:46:41,129,522.982382059,3,863.673600
2015-07-25 23:46:41,288,523.141608953,0,335.910800
2015-07-25 23:46:42,248,524.101791859,1,444.585200
2015-07-25 23:46:42,280,524.133769989,0,336.217800
2015-07-25 23:46:43,913,525.765851974,1,444.811800
2015-07-25 23:46:44,617,526.469854832,1,445.086200
2015-07-25 23:46:45,865,527.71785593,1,445.324600
2015-07-25 23:46:45,928,527.781710863,0,336.471800
2015-07-25 23:46:47,048,528.901772022,1,445.555800
2015-07-25 23:46:47,816,529.66976285,1,445.841800
2015-07-25 23:46:48,938,530.790968895,2,861.481400
2015-07-25 23:46:49,032,530.885582924,1,446.062600
2015-07-25 23:46:49,096,530.949575901,0,336.714200
2015-07-25 23:46:49,449,531.301853895,1,446.319200
2015-07-25 23:46:50,985,532.837862015,1,446.582600
2015-07-25 23:46:51,080,532.933785915,0,336.957200
2015-07-25 23:46:51,401,533.254036903,1,446.834800
2015-07-25 23:46:51,816,533.669662952,1,447.114400
2015-07-25 23:46:52,584,534.437777042,1,447.330800
2015-07-25 23:46:53,193,535.045857906,1,447.572000
2015-07-25 23:46:53,897,535.749840975,1,447.835800
2015-07-25 23:46:54,184,536.037624836,2,861.700800
2015-07-25 23:46:54,248,536.1016469,0,337.232000
2015-07-25 23:46:54,408,536.261735916,0,336.968800
2015-07-25 23:46:54,632,536.485808849,1,448.101800
2015-07-25 23:46:54,985,536.837931871,0,337.183800
2015-07-25 23:46:55,017,536.869822025,1,448.316800
2015-07-25 23:46:55,144,536.997799873,1,448.097200
2015-07-25 23:46:55,176,537.029722929,0,336.964200
2015-07-25 23:46:55,400,537.253535032,1,448.312800
2015-07-25 23:46:55,433,537.285842896,0,337.179200
2015-07-25 23:46:55,848,537.701800823,1,448.555200
2015-07-25 23:46:56,200,538.053822994,1,448.770200
2015-07-25 23:46:57,000,538.853708029,1,449.040200
2015-07-25 23:46:57,800,539.653664827,1,449.294800
2015-07-25 23:46:58,248,540.101799965,0,337.437800
2015-07-25 23:46:58,633,540.485828876,1,449.505000
2015-07-25 23:46:59,432,541.28580904,1,449.747800
2015-07-25 23:47:00,168,542.021558046,1,450.006800
2015-07-25 23:47:01,352,543.205760956,1,450.265200
2015-07-25 23:47:01,384,543.237532854,0,337.696800
2015-07-25 23:47:02,153,544.005941868,1,450.519200
2015-07-25 23:47:02,568,544.421716928,1,450.734800
2015-07-25 23:47:03,784,545.63774085,1,450.972800
2015-07-25 23:47:03,816,545.669556856,0,337.950800
2015-07-25 23:47:04,200,546.053597927,1,451.203800
2015-07-25 23:47:05,384,547.237710953,1,451.458200
2015-07-25 23:47:05,992,547.845726013,1,451.183200
2015-07-25 23:47:06,728,548.581727982,1,450.913200
2015-07-25 23:47:06,953,548.805953979,0,338.225200
2015-07-25 23:47:07,240,549.093804836,1,450.643200
2015-07-25 23:47:08,008,549.861656904,1,450.411600
2015-07-25 23:47:08,712,550.565809011,1,450.157800
2015-07-25 23:47:09,384,551.237596035,0,338.468200
2015-07-25 23:47:09,705,551.557855844,0,338.252800
2015-07-25 23:47:10,024,551.877801895,2,861.496400
2015-07-25 23:47:10,536,552.389802933,1,450.384200
2015-07-25 23:47:10,569,552.42185092,0,338.495800
2015-07-25 23:47:11,272,553.12558794,1,450.627200
2015-07-25 23:47:12,136,553.989804983,1,450.881200
2015-07-25 23:47:12,584,554.437748909,1,451.112200
2015-07-25 23:47:13,384,555.237519979,0,338.770200
2015-07-25 23:47:14,089,555.941910982,1,451.382800
2015-07-25 23:47:14,792,556.645721912,1,451.625200
2015-07-25 23:47:16,072,557.925719023,1,451.883800
2015-07-25 23:47:16,168,558.021725893,0,339.012800
2015-07-25 23:47:16,392,558.245795965,0,338.765800
2015-07-25 23:47:16,937,558.789887905,0,339.008200
2015-07-25 23:47:16,937,558.790631056,1,452.105800
2015-07-25 23:47:17,736,559.589727879,1,452.364800
2015-07-25 23:47:18,664,560.517809868,1,452.596000
2015-07-25 23:47:18,665,560.518429041,2,861.700800
2015-07-25 23:47:19,401,561.25377202,0,339.239800
2015-07-25 23:47:21,768,563.621831894,1,452.817800
2015-07-25 23:47:22,568,564.421803951,0,339.477800
2015-07-25 23:47:22,888,564.741729975,1,453.044800
2015-07-25 23:47:26,088,567.941653967,0,339.752200
2015-07-25 23:47:26,120,567.97377491,1,453.303200
2015-07-25 23:47:26,280,568.133746862,1,453.056000
2015-07-25 23:47:26,344,568.197563887,0,339.505000
2015-07-25 23:47:26,472,568.325657845,0,339.720200
2015-07-25 23:47:26,473,568.326222897,1,453.271200
2015-07-25 23:47:26,920,568.77365303,1,453.502400
2015-07-25 23:47:27,560,569.413735867,0,339.516600
2015-07-25 23:47:27,624,569.477512836,0,339.736200
2015-07-25 23:47:27,688,569.541671991,1,453.740800
2015-07-25 23:47:28,872,570.725590944,1,453.994800
2015-07-25 23:47:29,321,571.173893929,0,339.963200
2015-07-25 23:47:30,824,572.677670956,1,454.237200
2015-07-25 23:47:33,256,575.109660864,1,454.448200
2015-07-25 23:47:33,704,575.557744026,0,340.169600
2015-07-25 23:47:33,928,575.78166604,0,339.958600
2015-07-25 23:47:34,856,576.709583998,0,340.216400
2015-07-25 23:47:36,456,578.309696913,1,454.663200
2015-07-25 23:47:39,145,580.997797966,1,454.901200
2015-07-25 23:47:39,240,581.093751907,0,340.433000
2015-07-25 23:47:39,528,581.381667852,0,340.207400
2015-07-25 23:47:40,008,581.861747026,0,340.464200
2015-07-25 23:47:40,009,581.862319946,1,455.159800
2015-07-25 23:47:41,993,583.845779896,1,455.414200
2015-07-25 23:47:42,729,584.58198595,1,455.629200
2015-07-25 23:47:42,825,584.677810907,0,340.701200
2015-07-25 23:47:44,392,586.24563098,1,455.839800
2015-07-25 23:47:45,864,587.717628956,1,456.050800
2015-07-25 23:47:47,177,589.02993083,0,340.949000
2015-07-25 23:47:47,496,589.349606991,1,455.803200
2015-07-25 23:47:48,168,590.021751881,1,455.565200
2015-07-25 23:47:48,712,590.565569878,1,455.354800
2015-07-25 23:47:49,032,590.8856709,1,455.111800
2015-07-25 23:47:49,576,591.42975688,0,341.185600
2015-07-25 23:47:49,705,591.557803869,1,454.853200
2015-07-25 23:47:49,832,591.685740948,0,340.975800
2015-07-25 23:47:49,960,591.813662052,0,341.216800
2015-07-25 23:47:50,536,592.389750957,1,454.626600
2015-07-25 23:47:51,112,592.965667009,1,454.853200
2015-07-25 23:47:51,912,593.765596867,1,455.111800
2015-07-25 23:47:53,128,594.981659889,0,341.422600
2015-07-25 23:47:53,129,594.98218894,1,455.386800
2015-07-25 23:47:53,448,595.301658869,1,455.111800
2015-07-25 23:47:54,184,596.037631989,1,454.837200
2015-07-25 23:47:55,560,597.413692951,1,454.599200
2015-07-25 23:47:56,168,598.021683931,1,454.340000
2015-07-25 23:47:56,680,598.533682823,1,454.587800
2015-07-25 23:47:57,096,598.949710846,0,341.643600
2015-07-25 23:47:59,496,601.3494699,1,454.809800
2015-07-25 23:48:00,360,602.213461876,0,341.880200
2015-07-25 23:48:00,648,602.501610041,1,455.040800
2015-07-25 23:48:01,448,603.301609993,1,455.283800
2015-07-25 23:48:02,248,604.101613045,1,455.489800
2015-07-25 23:48:03,496,605.349694014,0,342.087800
2015-07-25 23:48:03,528,605.381744862,1,455.748200
2015-07-25 23:48:03,753,605.605852842,0,341.875800
2015-07-25 23:48:04,296,606.149610996,0,342.103800
2015-07-25 23:48:04,680,606.533684969,1,456.002600
2015-07-25 23:48:05,224,607.077610016,1,456.233800
2015-07-25 23:48:05,896,607.749694824,1,456.444200
2015-07-25 23:48:06,664,608.517518044,1,456.659200
2015-07-25 23:48:06,696,608.549723864,0,342.378800
2015-07-25 23:48:06,920,608.77372694,0,342.067600
2015-07-25 23:48:07,144,608.997678995,0,342.298800
2015-07-25 23:48:07,816,609.669692993,1,456.881800
2015-07-25 23:48:08,328,610.181694984,1,457.140200
2015-07-25 23:48:09,480,611.333688974,1,457.378200
2015-07-25 23:48:10,312,612.165597916,0,342.541200
2015-07-25 23:48:10,313,612.16630888,1,457.653200
2015-07-25 23:48:11,016,612.869470835,1,457.406200
2015-07-25 23:48:11,464,613.317687035,1,457.637200
2015-07-25 23:48:14,216,616.069561958,1,457.847800
2015-07-25 23:48:14,665,616.517804861,0,342.783800
2015-07-25 23:48:15,400,617.253404856,1,458.062800
2015-07-25 23:48:16,680,618.533691883,0,342.994800
2015-07-25 23:48:16,936,618.789605856,0,342.779000
2015-07-25 23:48:17,064,618.917608023,1,458.269000
2015-07-25 23:48:17,096,618.949717045,0,343.010800
2015-07-25 23:48:17,897,619.749778032,1,458.543800
2015-07-25 23:48:19,080,620.933720827,1,458.818200
2015-07-25 23:48:19,112,620.965688944,0,343.253200
2015-07-25 23:48:19,273,621.125885963,0,343.022200
2015-07-25 23:48:19,944,621.797608852,0,343.264800
2015-07-25 23:48:20,200,622.053699017,1,459.072800
2015-07-25 23:48:20,680,622.533490896,1,459.347200
2015-07-25 23:48:22,280,624.133694887,0,343.475200
2015-07-25 23:48:24,264,626.11766696,0,343.690800
2015-07-25 23:48:24,265,626.118408918,1,459.557800
2015-07-25 23:48:26,280,628.133643866,0,343.933200
2015-07-25 23:48:26,281,628.134193897,1,459.800200
2015-07-25 23:48:26,344,628.197310925,1,459.596600
2015-07-25 23:48:26,441,628.293767929,0,343.729600
2015-07-25 23:48:26,664,628.517634869,0,343.981400
2015-07-25 23:48:26,665,628.518368959,1,459.848400
2015-07-25 23:48:26,888,628.741364002,1,459.617200
2015-07-25 23:48:27,656,629.509558916,1,459.358800
2015-07-25 23:48:28,136,629.989788055,1,459.132200
2015-07-25 23:48:28,424,630.277442932,1,458.900600
2015-07-25 23:48:28,968,630.821548939,1,458.646600
2015-07-25 23:48:29,320,631.173423052,1,458.436200
2015-07-25 23:48:29,928,631.781548023,0,344.214600
2015-07-25 23:48:31,400,633.253296852,1,458.651200
2015-07-25 23:48:31,496,633.349691868,0,344.446200
2015-07-25 23:48:32,232,634.085638046,1,458.889200
2015-07-25 23:48:33,096,634.949396849,1,459.120800
2015-07-25 23:48:33,576,635.429636002,0,344.656800
2015-07-25 23:48:35,880,637.733650923,0,344.867200
2015-07-25 23:48:37,032,638.885553837,1,459.379200
2015-07-25 23:48:37,096,638.949368,0,345.098200
2015-07-25 23:48:37,768,639.621544838,0,344.894600
2015-07-25 23:48:37,928,639.781491041,0,345.141800
2015-07-25 23:48:39,944,641.797678947,0,345.396200
2015-07-25 23:48:41,512,643.365531921,1,459.633200
2015-07-25 23:48:42,344,644.197541952,0,345.606800
2015-07-25 23:48:44,360,646.213371992,0,345.817200
2015-07-25 23:48:46,440,648.293400049,0,346.032800
2015-07-25 23:48:46,664,648.517396927,0,345.829200
2015-07-25 23:48:47,112,648.96557498,0,346.044200
2015-07-25 23:48:47,528,649.381542921,1,459.839600
2015-07-25 23:48:49,160,651.013674021,0,346.286800
2015-07-25 23:48:49,544,651.397686005,1,460.054800
2015-07-25 23:48:51,401,653.253849983,1,460.276600
2015-07-25 23:48:51,560,653.413630009,0,346.497200
2015-07-25 23:48:51,752,653.605784893,1,460.523800
